name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Deluxe Room, 1 King Bed",380,134,1 king bed,2,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Deluxe Room, 1 King Bed",380,179,1 king bed,2,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Deluxe Room, 1 King Bed, River View",380,157,1 king bed,2,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Deluxe Room, 1 King Bed, River View",380,209,1 king bed,2,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Mediteranean, Suite, Accessible",578,247,1 king bed,3,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Mediteranean, Suite, Accessible",578,329,1 king bed,3,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Mediteranean, Suite",578,247,1 king bed,3,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Mediteranean, Suite",578,329,1 king bed,3,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Mediteranean, Suite, River View",578,269,1 king bed,3,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Monaco Chicago,The Loop,60601,4.5,4.6,"2,105",4/21/17,4/22/17,"Mediteranean, Suite, River View",578,359,1 king bed,3,N Wabash Ave,https://www.expedia.com/Chicago-Hotels-Kimpton-Hotel-Monaco-Chicago.h4200.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=134.25&exp_ts=1492790456882&exp_curr=USD&exp_pg=HSR
Kinzie Hotel,Magnificent Mile,60654,4,4.6,"4,077",4/21/17,4/22/17,Deluxe Room 1 King Bed,324,159,1 king bed,3,W Kinzie St,https://www.expedia.com/Magnificent-Mile-Hotels-Kinzie-Hotel.h992500.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=158.75&exp_ts=1492790456885&exp_curr=USD&exp_pg=HSR
Kinzie Hotel,Magnificent Mile,60654,4,4.6,"4,077",4/21/17,4/22/17,Deluxe Room 2 Queen Beds,324,179,2 queen beds,4,W Kinzie St,https://www.expedia.com/Magnificent-Mile-Hotels-Kinzie-Hotel.h992500.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=158.75&exp_ts=1492790456885&exp_curr=USD&exp_pg=HSR
Hotel Felix Chicago,Magnificent Mile,60654,4,4.1,"3,503",4/21/17,4/22/17,"Standard Room, 1 King Bed",311,169,1 king bed,2,W Huron St,https://www.expedia.com/Magnificent-Mile-Hotels-Hotel-Felix-Chicago.h2222364.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=169.44&exp_ts=1492790456885&exp_curr=USD&exp_pg=HSR
Hotel Felix Chicago,Magnificent Mile,60654,4,4.1,"3,503",4/21/17,4/22/17,"Standard Room, 1 King Bed",311,199,1 king bed,2,W Huron St,https://www.expedia.com/Magnificent-Mile-Hotels-Hotel-Felix-Chicago.h2222364.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=169.44&exp_ts=1492790456885&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 2 Queen Beds (Ada Shower)",325,179,2 queen beds,4,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 2 Queen Beds (Ada Shower)",325,199,2 queen beds,4,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 2 Queen Beds",300,179,2 queen beds,4,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 2 Queen Beds",300,199,2 queen beds,4,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 1 Queen Bed",300,179,1 queen bed,2,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 1 Queen Bed",300,199,1 queen bed,2,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, Accessible, Bathtub",325,189,1 king bed,3,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, Accessible, Bathtub",325,209,1 king bed,3,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 1 King Bed (High Floor)",355,194,1 king bed,3,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 1 King Bed (High Floor)",355,214,1 king bed,3,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 1 King Bed, View",333,209,1 king bed,3,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
Hyatt Regency Chicago,The Loop,60601,4,4.3,"8,034",4/21/17,4/22/17,"Room, 1 King Bed, View",333,229,1 king bed,3,East Wacker Dr,https://www.expedia.com/Chicago-Hotels-Hyatt-Regency-Chicago.h4903.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7159b3b1-ff12-4b20-ba6d-b790a7d1420cHWRQ1492790458495&vip=false&c=c7da6e73-2c8c-43ed-b7b4-22c311f06cc7&&exp_dp=179&exp_ts=1492790456886&exp_curr=USD&exp_pg=HSR
