name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Bedford Plaza Hotel - Boston,Bedford,01730,2.5,3.0,90,04/21/2017,04/22/2017,"Standard Room, 2 Double Beds",288,72,2 Double Beds,4,Great Road,https://www.expedia.com/Bedford-Hotels-Bedford-Plaza-Hotel-Boston.h26520.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=72&exp_ts=1492791967074&exp_curr=USD&exp_pg=HSR
Bedford Plaza Hotel - Boston,Bedford,01730,2.5,3.0,90,04/21/2017,04/22/2017,"Deluxe Double Room, 2 Double Beds, Non Smoking",288,76,2 Double Beds,4,Great Road,https://www.expedia.com/Bedford-Hotels-Bedford-Plaza-Hotel-Boston.h26520.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=72&exp_ts=1492791967074&exp_curr=USD&exp_pg=HSR
Bedford Plaza Hotel - Boston,Bedford,01730,2.5,3.0,90,04/21/2017,04/22/2017,"Deluxe Room, 1 King Bed, Non Smoking",288,84,1 King Bed,2,Great Road,https://www.expedia.com/Bedford-Hotels-Bedford-Plaza-Hotel-Boston.h26520.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=72&exp_ts=1492791967074&exp_curr=USD&exp_pg=HSR
Bedford Plaza Hotel - Boston,Bedford,01730,2.5,3.0,90,04/21/2017,04/22/2017,Suite,355,100,1 King Bed and 1 Double Sofa Bed,2,Great Road,https://www.expedia.com/Bedford-Hotels-Bedford-Plaza-Hotel-Boston.h26520.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=72&exp_ts=1492791967074&exp_curr=USD&exp_pg=HSR
Kimpton Nine Zero Hotel,Theatre District,02108,4.0,4.6,"1,816",04/21/2017,04/22/2017,"Deluxe Room, 1 Queen Bed",280,199,1 Queen Bed,2,Tremont St,https://www.expedia.com/Boston-Hotels-Kimpton-Nine-Zero-Hotel.h867308.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=199&exp_ts=1492791967076&exp_curr=USD&exp_pg=HSR
Kimpton Nine Zero Hotel,Theatre District,02108,4.0,4.6,"1,816",04/21/2017,04/22/2017,One King Bed Roll In Shower,350,229,1 King Bed,2,Tremont St,https://www.expedia.com/Boston-Hotels-Kimpton-Nine-Zero-Hotel.h867308.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=199&exp_ts=1492791967076&exp_curr=USD&exp_pg=HSR
Kimpton Nine Zero Hotel,Theatre District,02108,4.0,4.6,"1,816",04/21/2017,04/22/2017,"Premier Room, 1 King Bed",355,229,1 King Bed,2,Tremont St,https://www.expedia.com/Boston-Hotels-Kimpton-Nine-Zero-Hotel.h867308.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=199&exp_ts=1492791967076&exp_curr=USD&exp_pg=HSR
Kimpton Nine Zero Hotel,Theatre District,02108,4.0,4.6,"1,816",04/21/2017,04/22/2017,"Premier Room, 1 Queen Bed",350,229,1 Queen Bed,3,Tremont St,https://www.expedia.com/Boston-Hotels-Kimpton-Nine-Zero-Hotel.h867308.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=199&exp_ts=1492791967076&exp_curr=USD&exp_pg=HSR
Kimpton Nine Zero Hotel,Theatre District,02108,4.0,4.6,"1,816",04/21/2017,04/22/2017,Queen with Skyline View,355,279,1 Queen Bed,3,Tremont St,https://www.expedia.com/Boston-Hotels-Kimpton-Nine-Zero-Hotel.h867308.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=199&exp_ts=1492791967076&exp_curr=USD&exp_pg=HSR
Kimpton Onyx Hotel,West End,02114,4.0,4.4,"1,679",04/21/2017,04/22/2017,"Room, 1 King Bed",280,195,1 King Bed,2,Portland St,https://www.expedia.com/Boston-Hotels-Kimpton-Onyx-Hotel.h980972.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=633822da-da1d-4aa2-9746-b5fb616d93ddHWRQ1492791972297&vip=false&c=b35fd3fa-313a-4cce-95ac-5dd967f1518a&&exp_dp=194.65&exp_ts=1492791967079&exp_curr=USD&exp_pg=HSR
