name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Aloft Frisco,Frisco,75034,3.0,4.2,"1,318",04/21/2017,04/22/2017,"Traditional Room, 1 King Bed",315,95,1 King Bed,2,Parkwood Blvd,https://www.expedia.com/Frisco-Hotels-Aloft-Frisco.h2161742.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=95&exp_ts=1492803902699&exp_curr=USD&exp_pg=HSR
Aloft Frisco,Frisco,75034,3.0,4.2,"1,318",04/21/2017,04/22/2017,"Traditional Room, 1 King Bed",315,109,1 King Bed,2,Parkwood Blvd,https://www.expedia.com/Frisco-Hotels-Aloft-Frisco.h2161742.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=95&exp_ts=1492803902699&exp_curr=USD&exp_pg=HSR
Aloft Frisco,Frisco,75034,3.0,4.2,"1,318",04/21/2017,04/22/2017,"Traditional Room, 1 King Bed",315,119,1 King Bed,2,Parkwood Blvd,https://www.expedia.com/Frisco-Hotels-Aloft-Frisco.h2161742.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=95&exp_ts=1492803902699&exp_curr=USD&exp_pg=HSR
Aloft Frisco,Frisco,75034,3.0,4.2,"1,318",04/21/2017,04/22/2017,Traditional Double Room,398,120,2 Queen Beds,4,Parkwood Blvd,https://www.expedia.com/Frisco-Hotels-Aloft-Frisco.h2161742.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=95&exp_ts=1492803902699&exp_curr=USD&exp_pg=HSR
Aloft Frisco,Frisco,75034,3.0,4.2,"1,318",04/21/2017,04/22/2017,Traditional Double Room,398,131,2 Queen Beds,4,Parkwood Blvd,https://www.expedia.com/Frisco-Hotels-Aloft-Frisco.h2161742.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=95&exp_ts=1492803902699&exp_curr=USD&exp_pg=HSR
Aloft Frisco,Frisco,75034,3.0,4.2,"1,318",04/21/2017,04/22/2017,Traditional Double Room,398,141,2 Queen Beds,4,Parkwood Blvd,https://www.expedia.com/Frisco-Hotels-Aloft-Frisco.h2161742.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=95&exp_ts=1492803902699&exp_curr=USD&exp_pg=HSR
Aloft Dallas Love Field,Dallas,75235,3.0,4.2,13,04/21/2017,04/22/2017,"aloft, Room, 2 Queen Beds",415,99,2 Queen Beds,4,W Mockingbird Lane,https://www.expedia.com/Dallas-Hotels-Aloft-Dallas-Love-Field.h17840128.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=99&exp_ts=1492803902701&exp_curr=USD&exp_pg=HSR
Aloft Dallas Love Field,Dallas,75235,3.0,4.2,13,04/21/2017,04/22/2017,aloft,355,99,1 King Bed,2,W Mockingbird Lane,https://www.expedia.com/Dallas-Hotels-Aloft-Dallas-Love-Field.h17840128.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=99&exp_ts=1492803902701&exp_curr=USD&exp_pg=HSR
Aloft Dallas Love Field,Dallas,75235,3.0,4.2,13,04/21/2017,04/22/2017,"Room, 2 Queen Beds, View",415,139,2 Queen Beds,4,W Mockingbird Lane,https://www.expedia.com/Dallas-Hotels-Aloft-Dallas-Love-Field.h17840128.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=99&exp_ts=1492803902701&exp_curr=USD&exp_pg=HSR
Omni Dallas Hotel,Downtown Dallas,75202,4.5,4.7,"3,860",04/21/2017,04/22/2017,"Deluxe Room, 2 Queen Beds",396,159,2 Queen Beds,4,S Lamar St,https://www.expedia.com/Downtown-Dallas-Hotels-Omni-Dallas-Hotel.h4488581.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=159&exp_ts=1492803902702&exp_curr=USD&exp_pg=HSR
Omni Dallas Hotel,Downtown Dallas,75202,4.5,4.7,"3,860",04/21/2017,04/22/2017,"Deluxe Room, 1 King Bed",396,179,1 King Bed,3,S Lamar St,https://www.expedia.com/Downtown-Dallas-Hotels-Omni-Dallas-Hotel.h4488581.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=159&exp_ts=1492803902702&exp_curr=USD&exp_pg=HSR
Omni Dallas Hotel,Downtown Dallas,75202,4.5,4.7,"3,860",04/21/2017,04/22/2017,"Premier Room, 2 Queen Beds",396,179,2 Queen Beds,4,S Lamar St,https://www.expedia.com/Downtown-Dallas-Hotels-Omni-Dallas-Hotel.h4488581.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=159&exp_ts=1492803902702&exp_curr=USD&exp_pg=HSR
Wingate by Wyndham Richardson,Richardson,75080,3.0,4.1,"1,729",04/21/2017,04/22/2017,"Standard Room, 1 King Bed",350,84,1 King Bed,3,Gateway Blvd,https://www.expedia.com/Richardson-Hotels-Wingate-By-Wyndham-Richardson.h8749.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=84.15&exp_ts=1492803902702&exp_curr=USD&exp_pg=HSR
Wingate by Wyndham Richardson,Richardson,75080,3.0,4.1,"1,729",04/21/2017,04/22/2017,"Standard Room, 2 Queen Beds",350,93,2 Queen Beds,4,Gateway Blvd,https://www.expedia.com/Richardson-Hotels-Wingate-By-Wyndham-Richardson.h8749.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=5eac08ca-6aa4-46cc-a8f2-98490aaa0158HWRQ1492803901378&vip=false&c=b68125ab-c596-4a0c-b565-d5572803f2e3&&exp_dp=84.15&exp_ts=1492803902702&exp_curr=USD&exp_pg=HSR
