name,zone,star,rating,rates,room,size,price,bed,guests,address,link
All Star Inn,San Pedro,2.0,2.8,33,"Standard Room, 1 Queen Bed",205,76,1 queen bed,2,South Pacific Avenue,https://www.expedia.com/San-Pedro-Hotels-All-Star-Inn.h12851832.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=76.38&exp_ts=1492654042270&exp_curr=USD&exp_pg=HSR
All Star Inn,San Pedro,2.0,2.8,33,"Standard Room, 1 King Bed",230,81,1 king bed,2,South Pacific Avenue,https://www.expedia.com/San-Pedro-Hotels-All-Star-Inn.h12851832.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=76.38&exp_ts=1492654042270&exp_curr=USD&exp_pg=HSR
All Star Inn,San Pedro,2.0,2.8,33,"Standard Room, 2 Double Beds",205,81,2 double beds,4,South Pacific Avenue,https://www.expedia.com/San-Pedro-Hotels-All-Star-Inn.h12851832.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=76.38&exp_ts=1492654042270&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,"Deluxe Room, 2 Queen Beds",490,164,2 queen beds,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=164.32&exp_ts=1492654042274&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,"Deluxe Room, 1 King Bed",455,164,1 king bed,2,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=164.32&exp_ts=1492654042274&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,"Deluxe Room, Accessible",452,164,1 king bed,2,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=164.32&exp_ts=1492654042274&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,"Deluxe Room, Accessible",452,164,2 queen beds,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=164.32&exp_ts=1492654042274&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,"Classic Suite, 1 King Bed",654,239,1 king bed,3,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=164.32&exp_ts=1492654042274&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,Suite (The Bike),904,314,1 king and 1 sofa bed,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=164.32&exp_ts=1492654042274&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,"Suite, Accessible (The Bike)",904,314,1 king and 1 sofa bed,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=164.32&exp_ts=1492654042274&exp_curr=USD&exp_pg=HSR
