name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Sportsmen's Lodge,Universal Studios,91604,3.5,3.7,"1,175",04/21/2017,04/22/2017,Studio Suite,400,221,1 King Bed,2,Ventura Blvd,https://www.expedia.com/Universal-Studios-Hotels-Sportsmens-Lodge.h5001.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=197.4&exp_ts=1492738951625&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,90201,4,4.5,296,04/21/2017,04/22/2017,"Deluxe Room, 2 Queen Beds",490,164,2 Queen Beds,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=164.31&exp_ts=1492738951630&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,90201,4,4.5,296,04/21/2017,04/22/2017,"Deluxe Room, 1 King Bed",455,164,1 King Bed,2,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=164.31&exp_ts=1492738951630&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,90201,4,4.5,296,04/21/2017,04/22/2017,"Deluxe Room, Accessible",452,164,2 Queen Beds,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=164.31&exp_ts=1492738951630&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,90201,4,4.5,296,04/21/2017,04/22/2017,"Classic Suite, 1 King Bed",654,239,1 King Bed,3,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=164.31&exp_ts=1492738951630&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,90201,4,4.5,296,04/21/2017,04/22/2017,"Classic Suite, Accessible",654,239,1 King Bed,3,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=164.31&exp_ts=1492738951630&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,90201,4,4.5,296,04/21/2017,04/22/2017,Suite (The Bike),904,314,1 King Bed and 1 Double Sofa Bed,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=164.31&exp_ts=1492738951630&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,90201,4,4.5,296,04/21/2017,04/22/2017,"Suite, Accessible (The Bike)",904,314,1 King Bed and 1 Double Sofa Bed,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=164.31&exp_ts=1492738951630&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,Acessible Deluxe One King Bed and Roll-In,355,250,1 King Bed,3,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,Deluxe King Guest Room,350,250,1 King Bed,3,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,Deluxe Double Double Guest Room,350,250,2 Double Beds,4,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,"Premier Room, 1 King Bed",355,270,1 King Bed,3,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,"Premier Double Room, 2 Double Beds",355,270,2 Double Beds,4,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,"Skyline, Room, 1 King Bed, View",355,290,1 King Bed,3,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,"Skyline, Room, 2 Double Beds, View",355,290,2 Double Beds,4,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,90024,4,4.4,"2,025",04/21/2017,04/22/2017,Spa Suite with One King Bed,721,350,1 King Bed,5,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=250&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
