name,zone,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Sportsmen's Lodge,Universal Studios,3.5,3.7,"1,175",04/21/2017,04/22/2017,Studio Suite,400,221,1 king bed,2,Ventura Blvd,https://www.expedia.com/Universal-Studios-Hotels-Sportsmens-Lodge.h5001.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=197.4&exp_ts=1492705194481&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,04/21/2017,04/22/2017,"Deluxe Room, 2 Queen Beds",490,164,2 queen beds,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=164.25&exp_ts=1492705194486&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,04/21/2017,04/22/2017,"Deluxe Room, 1 King Bed",455,164,1 king bed,2,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=164.25&exp_ts=1492705194486&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,04/21/2017,04/22/2017,"Classic Suite, 1 King Bed",654,239,1 king bed,3,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=164.25&exp_ts=1492705194486&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,04/21/2017,04/22/2017,"Classic Suite, Accessible",654,239,1 king bed,3,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=164.25&exp_ts=1492705194486&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,04/21/2017,04/22/2017,Suite (The Bike),904,314,1 king and 1 sofa bed,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=164.25&exp_ts=1492705194486&exp_curr=USD&exp_pg=HSR
The Bicycle Hotel & Casino,Bell Gardens,4.0,4.5,296,04/21/2017,04/22/2017,"Suite, Accessible (The Bike)",904,314,1 king and 1 sofa bed,4,Casino Dr.,https://www.expedia.com/Bell-Gardens-Hotels-The-Bicycle-Hotel-Casino.h12486098.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=164.25&exp_ts=1492705194486&exp_curr=USD&exp_pg=HSR
Motel 6 Los Angeles LAX,Los Angeles Intl. (LAX),2.0,3.0,"1,839",04/21/2017,04/22/2017,"Standard Room, 1 Queen Bed, Accessible (Roll-in Shower)",200,106,1 queen bed,2,W Century Blvd,https://www.expedia.com/Los-Angeles-Intl-Hotels-Motel-6-Los-Angeles-LAX.h49971.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=105.99&exp_ts=1492705194487&exp_curr=USD&exp_pg=HSR
Motel 6 Los Angeles LAX,Los Angeles Intl. (LAX),2.0,3.0,"1,839",04/21/2017,04/22/2017,"Standard Room, 2 Queen Beds",200,106,2 queen beds,4,W Century Blvd,https://www.expedia.com/Los-Angeles-Intl-Hotels-Motel-6-Los-Angeles-LAX.h49971.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=105.99&exp_ts=1492705194487&exp_curr=USD&exp_pg=HSR
Motel 6 Los Angeles LAX,Los Angeles Intl. (LAX),2.0,3.0,"1,839",04/21/2017,04/22/2017,"Standard Room, 1 King Bed",200,106,1 king bed,2,W Century Blvd,https://www.expedia.com/Los-Angeles-Intl-Hotels-Motel-6-Los-Angeles-LAX.h49971.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=105.99&exp_ts=1492705194487&exp_curr=USD&exp_pg=HSR
Shelter Hotel Los Angeles,Downtown Los Angeles,3.0,3.5,"1,429",04/21/2017,04/22/2017,"Standard Room, 1 King Bed",250,149,1 king bed,2,S Mariposa Ave,https://www.expedia.com/Los-Angeles-Hotels-Shelter-Hotel-Los-Angeles.h16904.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=149&exp_ts=1492705194488&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268",04/21/2017,04/22/2017,"Deluxe Double Room, 2 Double Beds",384,279,2 full beds,4,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=279&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268",04/21/2017,04/22/2017,"Deluxe Double Room, 2 Double Beds",384,338,2 full beds,4,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=279&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268",04/21/2017,04/22/2017,"Premier Room, 1 King Bed",410,309,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=279&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268",04/21/2017,04/22/2017,"Premier Room, 1 King Bed",410,368,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=279&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268",04/21/2017,04/22/2017,"Club Room, 1 King Bed",410,379,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=279&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268",04/21/2017,04/22/2017,"Club Room, 1 King Bed",410,438,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=279&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,4.0,4.4,"2,025",04/21/2017,04/22/2017,Deluxe King Guest Room,350,250,1 king bed,3,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=250&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,4.0,4.4,"2,025",04/21/2017,04/22/2017,Deluxe Double Double Guest Room,350,250,2 full beds,4,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=250&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Kimpton Hotel Palomar Los Angeles Beverly Hills,Bel Air - Westwood,4.0,4.4,"2,025",04/21/2017,04/22/2017,"Premier Room, 1 King Bed",355,270,1 king bed,3,Wilshire Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Kimpton-Hotel-Palomar-Los-Angeles-Beverly-Hills.h1115.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=250&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
