name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Dumont NYC-an Affinia hotel,Midtown East - Grand Central,10016,4,4.4,"2,991",04/21/2017,04/22/2017,"Studio Suite, 1 King Bed",450,179,1 king bed,2,E. 34th Street at Lexington Avenue,https://www.expedia.com/New-York-Hotels-Dumont-NYC-An-Affinia-Hotel.h16970.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=179.4&exp_ts=1492745733960&exp_curr=USD&exp_pg=HSR
Dumont NYC-an Affinia hotel,Midtown East - Grand Central,10016,4,4.4,"2,991",04/21/2017,04/22/2017,"Studio Suite, 1 King Bed",450,299,1 king bed,2,E. 34th Street at Lexington Avenue,https://www.expedia.com/New-York-Hotels-Dumont-NYC-An-Affinia-Hotel.h16970.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=179.4&exp_ts=1492745733960&exp_curr=USD&exp_pg=HSR
Salisbury Hotel,Broadway - Times Square,10019,3,4.1,"14,936",04/21/2017,04/22/2017,"Standard Room, 2 Double Beds",280,169,2 double beds,4,W 57th St,https://www.expedia.com/New-York-Hotels-Salisbury-Hotel.h25906.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=169.43&exp_ts=1492745733962&exp_curr=USD&exp_pg=HSR
Salisbury Hotel,Broadway - Times Square,10019,3,4.1,"14,936",04/21/2017,04/22/2017,"Suite, 1 King Bed",500,199,1 king bed,2,W 57th St,https://www.expedia.com/New-York-Hotels-Salisbury-Hotel.h25906.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=169.43&exp_ts=1492745733962&exp_curr=USD&exp_pg=HSR
"The Roosevelt Hotel, New York City",Midtown East - Grand Central,10017,4,3.7,"19,170",04/21/2017,04/22/2017,"Superior Room, 1 King Bed",180,199,1 king bed,2,E 45th Street,https://www.expedia.com/New-York-Hotels-The-Roosevelt-Hotel.h41864.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=199.45&exp_ts=1492745733963&exp_curr=USD&exp_pg=HSR
"The Roosevelt Hotel, New York City",Midtown East - Grand Central,10017,4,3.7,"19,170",04/21/2017,04/22/2017,"Standard Room, 1 Queen Bed",130,199,1 queen bed,2,E 45th Street,https://www.expedia.com/New-York-Hotels-The-Roosevelt-Hotel.h41864.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=199.45&exp_ts=1492745733963&exp_curr=USD&exp_pg=HSR
"The Roosevelt Hotel, New York City",Midtown East - Grand Central,10017,4,3.7,"19,170",04/21/2017,04/22/2017,"Superior Double Room, 2 Double Beds",192,239,2 double beds,4,E 45th Street,https://www.expedia.com/New-York-Hotels-The-Roosevelt-Hotel.h41864.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=199.45&exp_ts=1492745733963&exp_curr=USD&exp_pg=HSR
"The Roosevelt Hotel, New York City",Midtown East - Grand Central,10017,4,3.7,"19,170",04/21/2017,04/22/2017,"Deluxe Room, 1 King Bed",300,259,1 king bed,2,E 45th Street,https://www.expedia.com/New-York-Hotels-The-Roosevelt-Hotel.h41864.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=199.45&exp_ts=1492745733963&exp_curr=USD&exp_pg=HSR
"The Roosevelt Hotel, New York City",Midtown East - Grand Central,10017,4,3.7,"19,170",04/21/2017,04/22/2017,"Deluxe Double Room, 2 Double Beds",300,269,2 double beds,4,E 45th Street,https://www.expedia.com/New-York-Hotels-The-Roosevelt-Hotel.h41864.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=199.45&exp_ts=1492745733963&exp_curr=USD&exp_pg=HSR
YOTEL New York at Times Square,Midtown West,10036,4,4.3,"8,319",04/21/2017,04/22/2017,Premium Queen,172,199,1 queen bed,2,Tenth Avenue,https://www.expedia.com/New-York-Hotels-YOTEL-New-York-At-Times-Square.h4182702.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=a0c99073-2f3f-4b70-b240-24869cc4911eHWRQ1492745730775&vip=false&c=c721a503-de21-4ba9-beb3-05e9f4386958&&exp_dp=199&exp_ts=1492745733964&exp_curr=USD&exp_pg=HSR
