name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,351",04/21/2017,04/22/2017,"Standard Room, 2 Queen Beds",300,269,2 Queen Beds,4,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=269.25&exp_ts=1492738960114&exp_curr=USD&exp_pg=HSR
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,351",04/21/2017,04/22/2017,"Deluxe Room, 1 King Bed",300,284,1 King Bed,2,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=269.25&exp_ts=1492738960114&exp_curr=USD&exp_pg=HSR
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,351",04/21/2017,04/22/2017,"Deluxe Room, 2 Queen Beds",300,299,2 Queen Beds,4,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=269.25&exp_ts=1492738960114&exp_curr=USD&exp_pg=HSR
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,351",04/21/2017,04/22/2017,"Room, 2 Queen Beds, Bay View",300,404,2 Queen Beds,4,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=269.25&exp_ts=1492738960114&exp_curr=USD&exp_pg=HSR
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,351",04/21/2017,04/22/2017,"Suite, 1 King Bed",650,404,1 King Bed,2,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=269.25&exp_ts=1492738960114&exp_curr=USD&exp_pg=HSR
Handlery Union Square Hotel,Union Square,94102,3.5,4,"4,201",04/21/2017,04/22/2017,"Standard Room, 1 Double Bed",205,149,1 Double Bed,2,Geary St,https://www.expedia.com/San-Francisco-Hotels-Handlery-Union-Square-Hotel.h6666.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=149.43&exp_ts=1492738960118&exp_curr=USD&exp_pg=HSR
Handlery Union Square Hotel,Union Square,94102,3.5,4,"4,201",04/21/2017,04/22/2017,"Standard Room, 1 Queen Bed",300,159,1 Queen Bed,2,Geary St,https://www.expedia.com/San-Francisco-Hotels-Handlery-Union-Square-Hotel.h6666.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=149.43&exp_ts=1492738960118&exp_curr=USD&exp_pg=HSR
Handlery Union Square Hotel,Union Square,94102,3.5,4,"4,201",04/21/2017,04/22/2017,"Standard Double Room, 2 Double Beds",323,179,2 Double Beds,4,Geary St,https://www.expedia.com/San-Francisco-Hotels-Handlery-Union-Square-Hotel.h6666.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=149.43&exp_ts=1492738960118&exp_curr=USD&exp_pg=HSR
Handlery Union Square Hotel,Union Square,94102,3.5,4,"4,201",04/21/2017,04/22/2017,"Premier Room, 1 King Bed",398,189,1 King Bed,2,Geary St,https://www.expedia.com/San-Francisco-Hotels-Handlery-Union-Square-Hotel.h6666.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=149.43&exp_ts=1492738960118&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4,4.2,"2,808",04/21/2017,04/22/2017,"Standard Room, 1 Queen Bed",234,129,1 Queen Bed,2,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=128.7&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4,4.2,"2,808",04/21/2017,04/22/2017,"Deluxe Room, 1 Queen Bed",214,138,1 Queen Bed,2,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=128.7&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4,4.2,"2,808",04/21/2017,04/22/2017,"Standard Room, 1 King Bed",234,138,1 King Bed,2,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=128.7&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4,4.2,"2,808",04/21/2017,04/22/2017,"Premier Room, 1 Queen Bed, View",270,165,1 Queen Bed,3,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=128.7&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4,4.2,"2,808",04/21/2017,04/22/2017,"Premier Room, 1 King Bed, View",270,174,1 King Bed,3,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=128.7&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4,4.2,"2,808",04/21/2017,04/22/2017,"Premier Double Room, 2 Double Beds, View",270,183,2 Double Beds,4,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=128.7&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4,4.2,"2,808",04/21/2017,04/22/2017,"Premier Room, 2 Queen Beds",270,196,2 Queen Beds,4,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=128.7&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Hotel Whitcomb,South of Market,94103,3.5,3.3,"7,413",04/21/2017,04/22/2017,"Standard, One Queen Bed",191,129,1 Queen Bed,2,Market St,https://www.expedia.com/San-Francisco-Hotels-Hotel-Whitcomb.h22510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=129.39&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Hotel Whitcomb,South of Market,94103,3.5,3.3,"7,413",04/21/2017,04/22/2017,"Standard Double Room, 2 Double Beds",252,129,2 Double Beds,4,Market St,https://www.expedia.com/San-Francisco-Hotels-Hotel-Whitcomb.h22510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=129.39&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Hotel Whitcomb,South of Market,94103,3.5,3.3,"7,413",04/21/2017,04/22/2017,"Standard, One King Bed",228,139,1 King Bed,2,Market St,https://www.expedia.com/San-Francisco-Hotels-Hotel-Whitcomb.h22510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=129.39&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
Hotel Whitcomb,South of Market,94103,3.5,3.3,"7,413",04/21/2017,04/22/2017,"Suite, 1 King Bed",352,488,1 King Bed,2,Market St,https://www.expedia.com/San-Francisco-Hotels-Hotel-Whitcomb.h22510.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=129.39&exp_ts=1492738960119&exp_curr=USD&exp_pg=HSR
