name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,349",04/23/2017,04/24/2017,"Standard Room, 1 Queen Bed",300,232,1 Queen Bed,2,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=231.75&exp_ts=1492718855823&exp_curr=USD&exp_pg=HSR
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,349",04/23/2017,04/24/2017,"Standard Room, 1 King Bed",300,232,1 King Bed,2,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=231.75&exp_ts=1492718855823&exp_curr=USD&exp_pg=HSR
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,349",04/23/2017,04/24/2017,"Room, 2 Queen Beds, Bay View",300,344,2 Queen Beds,4,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=231.75&exp_ts=1492718855823&exp_curr=USD&exp_pg=HSR
Argonaut Hotel - a Noble House Hotel,Fisherman's Wharf,94109,4.5,4.6,"5,349",04/23/2017,04/24/2017,"Suite, 1 King Bed",650,382,1 King Bed,2,Jefferson St,https://www.expedia.com/San-Francisco-Hotels-Argonaut-Hotel-A-Noble-House-Hotel.h915510.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=231.75&exp_ts=1492718855823&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4.0,4.2,"2,808",04/23/2017,04/24/2017,"Standard Room, 1 Queen Bed",234,129,1 Queen Bed,2,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=128.7&exp_ts=1492718855828&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4.0,4.2,"2,808",04/23/2017,04/24/2017,"Deluxe Room, 1 Queen Bed",214,138,1 Queen Bed,2,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=128.7&exp_ts=1492718855828&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4.0,4.2,"2,808",04/23/2017,04/24/2017,"Standard Room, 1 King Bed, Accessible",234,138,1 King Bed,2,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=128.7&exp_ts=1492718855828&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4.0,4.2,"2,808",04/23/2017,04/24/2017,"Standard Room, 1 King Bed",234,138,1 King Bed,2,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=128.7&exp_ts=1492718855828&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4.0,4.2,"2,808",04/23/2017,04/24/2017,"Premier Room, 1 Queen Bed, View",270,165,1 Queen Bed,3,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=128.7&exp_ts=1492718855828&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4.0,4.2,"2,808",04/23/2017,04/24/2017,"Premier Room, 1 King Bed, View",270,174,1 King Bed,3,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=128.7&exp_ts=1492718855828&exp_curr=USD&exp_pg=HSR
Stanford Court San Francisco,Union Square,94108,4.0,4.2,"2,808",04/23/2017,04/24/2017,"Premier Room, 2 Queen Beds",270,196,2 Queen Beds,4,California Street,https://www.expedia.com/San-Francisco-Hotels-Stanford-Court-San-Francisco.h6271901.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=128.7&exp_ts=1492718855828&exp_curr=USD&exp_pg=HSR
Hotel Abri - Union Square,Union Square,94102,3.5,4.3,"2,269",04/23/2017,04/24/2017,"Deluxe Room, 1 Queen Bed",200,135,1 Queen Bed,2,Ellis Street,https://www.expedia.com/San-Francisco-Hotels-Hotel-Abri-Union-Square.h15779.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=135.3&exp_ts=1492718855837&exp_curr=USD&exp_pg=HSR
Hotel Abri - Union Square,Union Square,94102,3.5,4.3,"2,269",04/23/2017,04/24/2017,"Deluxe Room, 1 Queen Bed",200,169,1 Queen Bed,2,Ellis Street,https://www.expedia.com/San-Francisco-Hotels-Hotel-Abri-Union-Square.h15779.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=135.3&exp_ts=1492718855837&exp_curr=USD&exp_pg=HSR
Hotel Abri - Union Square,Union Square,94102,3.5,4.3,"2,269",04/23/2017,04/24/2017,"Deluxe Room, 1 King Bed",240,155,1 King Bed,2,Ellis Street,https://www.expedia.com/San-Francisco-Hotels-Hotel-Abri-Union-Square.h15779.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=135.3&exp_ts=1492718855837&exp_curr=USD&exp_pg=HSR
Hotel Abri - Union Square,Union Square,94102,3.5,4.3,"2,269",04/23/2017,04/24/2017,"Deluxe Room, 1 King Bed",240,189,1 King Bed,2,Ellis Street,https://www.expedia.com/San-Francisco-Hotels-Hotel-Abri-Union-Square.h15779.Hotel-Information?chkin=4%2F23%2F2017&chkout=4%2F24%2F2017&rm1=a2&regionId=0&hwrqCacheKey=043451e6-5d8c-4950-9736-43c9d9f8574cHWRQ1492718854572&vip=false&c=deba7f09-c635-4477-bc84-4403800045a2&&exp_dp=135.3&exp_ts=1492718855837&exp_curr=USD&exp_pg=HSR
